epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,574.606,2.70239,5.59869,2.26079,0.46459,0.0193,0.00765,0.00244,2.67766,5.5285,2.14845,0.000301082,0.000301082,0.000301082
2,1078.69,2.54863,4.97568,2.12368,0.47683,0.02983,0.0215,0.0054,2.58888,5.24358,2.30202,0.000595539,0.000595539,0.000595539
3,1568.77,2.54258,4.56309,2.10447,0.09397,0.07879,0.02787,0.00897,2.49806,4.69003,2.13227,0.000881425,0.000881425,0.000881425
4,2056.51,2.57469,4.37975,2.13396,0.0082,0.43447,0.03278,0.00965,2.53095,4.44811,2.1456,0.000870432,0.000870432,0.000870432
5,2547.07,2.50588,4.00337,2.09854,0.22587,0.1355,0.06502,0.02152,2.48375,4.27918,2.2578,0.000857577,0.000857577,0.000857577
6,3039.54,2.47,3.79398,2.08277,0.22848,0.1146,0.09033,0.02688,2.43084,3.83271,2.21862,0.000844721,0.000844721,0.000844721
7,3529.7,2.41013,3.62378,2.06366,0.14675,0.13074,0.08266,0.02427,2.41962,3.75126,2.20085,0.000831865,0.000831865,0.000831865
8,4022.45,2.38542,3.46034,2.02917,0.20412,0.16669,0.10717,0.04019,2.36496,3.53409,2.13854,0.000819009,0.000819009,0.000819009
9,4510.91,2.3458,3.38185,2.0231,0.28034,0.18388,0.12293,0.04067,2.32051,3.37747,2.0784,0.000806153,0.000806153,0.000806153
10,4998.24,2.32202,3.20742,2.01537,0.28717,0.212,0.16476,0.05962,2.36706,3.21781,2.21791,0.000793297,0.000793297,0.000793297
11,5489.66,2.34892,3.22284,2.03827,0.23088,0.21801,0.13101,0.04351,2.2922,3.29638,2.08286,0.000780441,0.000780441,0.000780441
12,5977.27,2.28314,3.08665,1.95455,0.17843,0.20942,0.14891,0.04968,2.33804,3.06958,2.08076,0.000767586,0.000767586,0.000767586
13,6465.83,2.27072,3.06982,1.94776,0.39159,0.2091,0.18382,0.06319,2.27366,2.98672,2.1309,0.00075473,0.00075473,0.00075473
14,6956.39,2.24278,3.04587,1.96349,0.29607,0.2852,0.22913,0.07853,2.27756,2.87211,2.07913,0.000741874,0.000741874,0.000741874
15,7447.16,2.22212,2.85563,1.91653,0.32021,0.25622,0.2171,0.07956,2.24491,2.84008,2.02318,0.000729018,0.000729018,0.000729018
16,7940.25,2.19966,2.82425,1.9145,0.30726,0.29479,0.23881,0.08413,2.229,2.72848,2.05996,0.000716162,0.000716162,0.000716162
17,8427.95,2.16944,2.75463,1.87854,0.37344,0.23616,0.24098,0.08513,2.23769,2.66666,2.02035,0.000703306,0.000703306,0.000703306
18,8916.53,2.17731,2.71927,1.92633,0.41414,0.29082,0.29496,0.1029,2.22971,2.56079,2.05166,0.00069045,0.00069045,0.00069045
19,9403.8,2.15332,2.68494,1.88157,0.3288,0.30825,0.25354,0.0937,2.29607,2.61328,2.06196,0.000677595,0.000677595,0.000677595
20,9889.15,2.13709,2.58594,1.87898,0.46508,0.30357,0.28835,0.10339,2.26952,2.56202,2.06186,0.000664739,0.000664739,0.000664739
21,10377.1,2.15324,2.53826,1.88642,0.3632,0.37126,0.32692,0.11806,2.25952,2.43769,2.02764,0.000651883,0.000651883,0.000651883
